"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"VSIG2",-6.82894757489117,6.31533068632551,138.756289663911,1.65870216963953e-08,5.73634500333671e-06,0.0225471199577242,0.579324462640737,"paired_patient_pseudobulk",FALSE
"CA1",-8.71829817860822,5.55163275273815,109.415382622547,1.75146055094127e-08,5.89342807005914e-06,0.00493218249075216,0.241555783009212,"paired_patient_pseudobulk",FALSE
"EPB41L4A",-5.46892173866896,0.313826396921408,95.5478854866428,1.9951882286381e-08,6.46663109284909e-06,0.0017614937466972,0.037871033776868,"paired_patient_pseudobulk",FALSE
"TRIB3",4.9744600981409,5.22834785216208,117.688478172924,2.02569166763947e-08,6.46663109284909e-06,0.45904527038929,0.015353121801433,"paired_patient_pseudobulk",FALSE
"FOSB",-1.89752258976305,8.49084260211709,141.463013603015,2.29370270634206e-08,7.13914967348965e-06,0.661617051259468,0.687819856704197,"paired_patient_pseudobulk",FALSE
"SCN9A",-7.11374502608585,1.64783382823408,87.4928306110691,2.55904162421585e-08,7.77074834670423e-06,0.00105689624801832,0.0839303991811668,"paired_patient_pseudobulk",FALSE
"CLDN5",-4.63486383601404,0.670300694769469,77.3471771950779,3.50744651072811e-08,1.02496189024024e-05,0.0026422406200458,0.0296827021494371,"paired_patient_pseudobulk",FALSE
"PDE9A",-2.75865261940732,3.87798257811409,132.149644247682,3.54002901850044e-08,1.02496189024024e-05,0.0685221067465211,0.20675537359263,"paired_patient_pseudobulk",FALSE
"HOXD11",-5.213803752437,0.874696029234512,79.9580199414789,3.83974869081676e-08,1.0727375386175e-05,0.00211379249603664,0.0501535312180143,"paired_patient_pseudobulk",FALSE
"OAS3",2.60538357170653,4.06731776000327,109.523000024144,3.87736459741267e-08,1.0727375386175e-05,0.249251365157654,0.0368474923234391,"paired_patient_pseudobulk",FALSE
