"dataset","contrast","case_condition","reference_condition","cell_class","feature","n_pairs","mean_paired_difference","bootstrap_CI_low","bootstrap_CI_high","median_paired_difference","paired_difference_sd","paired_Cohen_dz","Wilcoxon_p","paired_t_p_sensitivity","status","BH_FDR","score_type"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Fibroblast","ECM21_module_balanced",7,1.17345422046709,0.655662604337229,1.56979383642976,1.39960553179844,0.698451063602729,1.6800807982369,0.0346105575157073,0.00435206841043435,"estimated",0.0543880189532544,"full_panel_module_balanced"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM21_gene_equal",0,,,,,,,,,"insufficient_pairs",,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM21_minus_M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM21_minus_M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM21_minus_M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM21_minus_M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Pericyte","ECM21_module_balanced",0,,,,,,,,,"insufficient_pairs",,"full_panel_module_balanced"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM21_gene_equal",0,,,,,,,,,"insufficient_pairs",,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM21_minus_M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM21_minus_M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM21_minus_M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM21_minus_M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Smooth_muscle","ECM21_module_balanced",0,,,,,,,,,"insufficient_pairs",,"full_panel_module_balanced"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","M1_interstitial_pericellular_collagen",9,1.01456761245586,0.554794738978208,1.53636891112308,0.673043942675994,0.786442629428245,1.29007199570738,0.00915168885265007,0.00473989746970312,"estimated",0.0235606070104103,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","M2_basement_membrane",9,0.622566867118816,0.359679727621143,0.904214772832401,0.595192890631766,0.446916159491271,1.39302832063063,0.0128512401874965,0.00308348031160665,"estimated",0.0235606070104103,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","M3_matrix_organizing_glycoproteins",9,0.459897751569151,-0.153845402021272,0.987502120783478,0.509677513380447,0.931335599832878,0.493804544410926,0.236136970221653,0.176773740159468,"estimated",0.259750667243818,"module"
