dataset,contrast,case_condition,reference_condition,cell_class,feature,n_pairs,mean_paired_difference,bootstrap_CI_low,bootstrap_CI_high,median_paired_difference,paired_difference_sd,paired_Cohen_dz,Wilcoxon_p,paired_t_p_sensitivity,status,BH_FDR,score_type,score_label,context,ci_excludes_zero
GSE132465,Tumor_vs_Normal,Tumor,Normal,Myeloid,ECM21_module_balanced,9,0.623519904280577,0.0917613514276086,1.12192188145377,0.512009310649577,0.838585168187868,0.74353795885511,0.0755605675259413,0.056243092051292,estimated,0.0923518047539283,full_panel_module_balanced,ECM21-MB,GSE132465 Myeloid,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,M1_interstitial_pericellular_collagen,6,0.51806104746141,-0.281656670629881,1.32511079623455,0.498055896004172,1.05961590999561,0.488913994754531,0.29450739368011,0.284748591283164,estimated,0.404947666310151,module,M1,GSE144735 Epithelial,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,M2_basement_membrane,6,1.36178971528087,0.749438235396591,2.14062689540074,0.88990489491227,0.984072393542644,1.38383082811464,0.0360316862182336,0.019468094587594,estimated,0.257104330147048,module,M2,GSE144735 Epithelial,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,M3_matrix_organizing_glycoproteins,6,0.100798388706965,-1.1286768005463,1.18609287335039,0.434953511031974,1.6218556875497,0.0621500355924091,1.0,0.884953252247824,estimated,1.0,module,M3,GSE144735 Epithelial,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,M4_secreted_heparin_binding_factors,6,-0.220227919067654,-1.16607112959082,0.902428098909333,-0.675170279004276,1.40986208351511,-0.156205292448588,0.833935414088552,0.717724176242738,estimated,0.917328955497407,module,M4,GSE144735 Epithelial,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,ECM19_structural_gene_equal,6,0.906155442982006,0.14110769313699,1.8444140198313,0.706321674498414,1.16827087966302,0.77563813217991,0.0934924836898357,0.115875549066839,estimated,0.257104330147048,structural_core,ECM19,GSE144735 Epithelial,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,ECM21_gene_equal,6,0.821124664924854,0.020301377403488,1.70524240436193,0.691849280061549,1.18058837177078,0.695521559045375,0.208412803684149,0.149168801898054,estimated,0.382090140087606,full_panel_gene_equal,ECM21-GE,GSE144735 Epithelial,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Epithelial,ECM21_module_balanced,6,0.53161430550895,-0.357152811844705,1.43927264821492,0.455136583481162,1.24405385115218,0.427324191003945,0.29450739368011,0.343164847707958,estimated,0.404947666310151,full_panel_module_balanced,ECM21-MB,GSE144735 Epithelial,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M1_interstitial_pericellular_collagen,5,1.26328944938911,0.569286358069568,2.14527480627093,0.905547476636967,1.01119881520355,1.24929878318223,0.0590582290905367,0.0491353483137984,estimated,0.0721822799995449,module,M1,GSE144735 Fibroblast,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M2_basement_membrane,5,0.0110744073218357,-0.458928656655561,0.481077471299233,0.116956399047038,0.590549653108073,0.0187527115858098,0.787406490666269,0.96856226167588,estimated,0.787406490666269,module,M2,GSE144735 Fibroblast,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M3_matrix_organizing_glycoproteins,5,1.14950252349259,0.385970388596859,1.91303465838833,1.27609069419719,0.969426679682847,1.18575499063907,0.0590582290905367,0.0568968535511322,estimated,0.0721822799995449,module,M3,GSE144735 Fibroblast,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M4_secreted_heparin_binding_factors,5,-0.851587226025984,-1.91343655718969,0.314116107334108,-1.06056422477825,1.37342278654972,-0.62004739863485,0.280712665268496,0.237875525098166,estimated,0.308783931795345,module,M4,GSE144735 Fibroblast,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,ECM19_structural_gene_equal,5,1.40075301169363,0.708651907377161,2.28234176308268,1.24756839858367,1.04458688675134,1.34096361868945,0.0590582290905367,0.0400016597289326,estimated,0.0721822799995449,structural_core,ECM19,GSE144735 Fibroblast,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,ECM21_gene_equal,5,1.32448881781554,0.609961225735415,2.2189256148453,1.03412104109576,1.03929080420269,1.27441598872959,0.0590582290905367,0.0464107781899925,estimated,0.0721822799995449,full_panel_gene_equal,ECM21-GE,GSE144735 Fibroblast,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Fibroblast,ECM21_module_balanced,5,1.21055106684477,0.428280103804992,2.0681866052446,0.864349437419224,1.04180821432083,1.16197112885499,0.0590582290905367,0.0601590655374316,estimated,0.0721822799995449,full_panel_module_balanced,ECM21-MB,GSE144735 Fibroblast,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,M1_interstitial_pericellular_collagen,4,1.00442333554356,0.231783001032209,2.44650793256568,0.334979073032802,1.44015455653131,0.697441348213883,0.100348246462291,0.257387473697785,estimated,0.713634069830446,module,M1,GSE144735 Myeloid,True
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,M2_basement_membrane,4,0.788654174944571,-0.323535421327336,1.89807166430124,0.791426281859809,1.35292240624988,0.5829263905316,0.361310428526179,0.327935442412657,estimated,0.713634069830446,module,M2,GSE144735 Myeloid,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,M3_matrix_organizing_glycoproteins,4,0.509179031015441,-0.633081064866029,1.9021099516099,0.258508206302448,1.5156240277497,0.335953390611943,0.855132140584706,0.549758148958098,estimated,0.940645354643177,module,M3,GSE144735 Myeloid,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,M4_secreted_heparin_binding_factors,4,0.190356335005516,-0.898031479990757,1.2569349729963,-0.131538981220442,1.35245730784885,0.140748498234142,1.0,0.796629429946866,estimated,1.0,module,M4,GSE144735 Myeloid,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,ECM19_structural_gene_equal,4,0.849296943564107,-0.150790262324375,2.17056819356045,0.437169007992306,1.43687169779761,0.591073611419783,0.361310428526179,0.322311652129601,estimated,0.713634069830446,structural_core,ECM19,GSE144735 Myeloid,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,ECM21_gene_equal,4,0.798145377329972,-0.160968870340365,2.13508565299525,0.286716759572846,1.43455673419764,0.556370729928908,0.583882420770365,0.34695871648738,estimated,0.713634069830446,full_panel_gene_equal,ECM21-GE,GSE144735 Myeloid,False
GSE144735,Tumor_vs_Normal,Tumor,Normal,Myeloid,ECM21_module_balanced,4,0.704949101409497,-0.18897721917122,2.16248616579212,0.141338357607597,1.46915207812556,0.479833988533655,0.583882420770365,0.40801787802084,estimated,0.713634069830446,full_panel_module_balanced,ECM21-MB,GSE144735 Myeloid,False
