section,x,y,epithelial_target_score,nearest_fibroblast_ECM_score
"P1CRC",77.781565758617,-235.28074183237,-0.158450897035525,-0.356756120034869
"P1CRC",85.7860404406358,-249.410261507887,0.0297783225793671,-0.0547760114319038
"P1CRC",188.09477073269,-277.234195267106,-0.067496178728209,-0.283992710228215
"P1CRC",204.721452074931,-239.411750056504,0.0340767481019156,0.415824938767648
"P1CRC",91.1695432172343,-306.668326266538,0.068480241138934,0.0139830937241706
"P1CRC",150.489274916786,-290.942296563943,-0.158450897035525,0.418416199274084
"P1CRC",72.1846979977626,-306.739216767708,0.0565342929236634,0.447281020684851
"P1CRC",192.043705782563,-224.00554413542,-0.0184752579201432,0.258840786414054
"P1CRC",110.425387132728,-251.117373406769,-6.79498644698085e-05,-0.0497465005293856
"P1CRC",49.4011714497768,-238.224393544126,-0.158450897035525,-0.435948915958326
"P1CRC",45.9321781468649,-187.148440192239,-0.158450897035525,-0.269274592924396
"P1CRC",96.1334159924902,-250.245598380686,-0.0721891907688636,0.106540276623262
"P1CRC",59.0853693631399,-177.899144848813,-0.158450897035525,-0.394872949799026
"P1CRC",125.639706014103,-285.28748631237,-0.0739651749855344,-0.127727366176924
"P1CRC",54.7198086155004,-276.001205854956,-0.158450897035525,-0.461725351373129
"P1CRC",63.3795925309647,-246.244267293408,-0.158450897035525,-0.206025276156578
"P1CRC",38.9714208886359,-246.26544805492,-0.158450897035525,-0.191772057631483
"P1CRC",201.218952606306,-218.41838443057,0.198016345550293,0.266231723841603
"P1CRC",201.198703913451,-299.795552414169,0.127399417227065,0.180755237234622
"P1CRC",129.009791827999,-241.178703453895,0.00679110451060076,0.606204453585364
"P1CRC",27.4690065516949,-210.650793998337,-0.158450897035525,-0.266855856435537
"P1CRC",94.366921909814,-281.052895029045,0.423805778037844,0.00194532325939974
"P1CRC",115.562224865598,-308.37359049603,-0.158450897035525,-0.189655102947827
"P1CRC",52.8708860660193,-236.283725215371,-0.158450897035525,-0.501204164519702
"P1CRC",51.6841989282771,-231.341012772994,-0.158450897035525,-0.357028352844692
"P1CRC",125.169633903492,-282.817239543256,0.0190556324019125,-0.175076083182259
"P1CRC",193.882923343721,-291.097054153321,-0.0760322104387458,-0.0548184144078646
"P1CRC",55.0229990158435,-243.454635325736,-0.158450897035525,-0.296564315318689
"P1CRC",134.661745869234,-243.20363938794,0.359585605785713,0.305410913270624
"P1CRC",65.8839087841577,-242.075394318565,-0.158450897035525,-0.381821975710087
"P1CRC",120.888872424087,-292.394642682504,0.0610783529111711,0.0849772080368003
"P1CRC",130.114130947761,-281.383415841903,0.994959447276134,-0.212921976898568
"P1CRC",197.221211895741,-224.053318008733,0.030681456621239,0.41780356040696
"P1CRC",80.8337805176518,-304.599996906774,0.00074769675403903,0.149048533268054
"P1CRC",196.046572365505,-297.035344808246,-0.158450897035525,0.36206992025644
"P1CRC",89.6460942047426,-284.954641023051,0.0509167883309756,0.0899538613018123
"P1CRC",113.167145946005,-247.937005607127,-0.0237995744635904,0.104118778258832
"P1CRC",196.037003114155,-245.24994756321,0.0978836876901877,0.0577587977897336
"P1CRC",18.2315740382973,-249.526094893306,0.286423452972205,0.0137204491054161
"P1CRC",60.4144893288496,-167.554473446113,-0.158450897035525,-0.400420016790862
"P1CRC",186.043701245416,-232.827750756,-0.00186501940885684,0.0808729743875729
"P1CRC",82.1950996975924,-290.803808301006,0.0751675456318563,0.0266564338965475
"P1CRC",84.182769122129,-262.711249428653,0.170396666958906,0.210469172427937
"P1CRC",124.266283325525,-273.931634237369,-0.0827717218179239,0.21740178655194
"P1CRC",203.848094463939,-227.320276068972,0.0690241262673187,0.0716319223187555
"P1CRC",26.7770997536332,-258.482056721494,-0.0161298465703203,-0.0812091592866421
"P1CRC",46.7369199949673,-286.037346390077,-0.158450897035525,0.0148133626633241
"P1CRC",105.405071115335,-260.688035294511,-0.158450897035525,-0.0446419304037488
"P1CRC",53.0661169182322,-215.325497107338,-0.158450897035525,-0.280078582169798
"P1CRC",196.634065923245,-286.930377895707,-0.158450897035525,-0.148015948299223
"P1CRC",94.2324210273038,-242.583739778232,0.102131658793393,0.36753426541379
"P1CRC",135.634948304155,-297.462838969648,0.0997446084071958,0.0304032673283381
"P1CRC",183.214293647504,-245.378139023069,-0.158450897035525,0.0545762644135138
"P1CRC",108.308283496121,-266.633023433148,0.0142372262871216,0.118984411817419
"P1CRC",23.551687423899,-260.671510047737,-0.0941893913336551,-0.0990331096307453
"P1CRC",200.509401582081,-241.592258368564,0.044021777349121,0.295573353484389
"P1CRC",20.9905929084027,-217.988647600959,-0.158450897035525,-0.275751829339793
"P1CRC",83.3427100171257,-299.93809501617,-0.0208576462633694,0.0893238466961451
"P1CRC",54.4648790840734,-223.969021547891,-0.158450897035525,-0.285170230297855
"P1CRC",107.465773677113,-304.106682115011,-0.115186630718798,0.0598360371112116
"P1CRC",84.7965946474342,-302.663986093227,-0.0295089742561769,0.0993195859345671
"P1CRC",63.751609882835,-285.701525529429,-0.00163367504124893,-0.0220555466714009
"P1CRC",48.9050910877995,-291.482233156447,-0.158450897035525,-0.275554814734312
"P1CRC",154.60220238329,-299.364449130895,0.20867998179098,-0.104869119726694
"P1CRC",10.3957883390763,-243.782301729584,-0.0256014792550762,0.025987964730729
"P1CRC",133.620829956098,-275.497652677545,-0.0927908827408626,-0.0474267576553762
"P1CRC",98.8613506426877,-248.544660162832,-0.00529784554815829,0.020829036652238
"P1CRC",118.439635843051,-290.645865953999,-0.158450897035525,-0.178375629839337
"P1CRC",110.198306934944,-301.912681752682,-0.158450897035525,-0.0719934570647894
"P1CRC",100.44685137372,-263.601300217067,0.0325540944677845,0.245468932530418
"P1CRC",113.037871690243,-235.359607519688,0.115280286569262,0.181485856347357
"P1CRC",157.832518123553,-296.681828306995,-0.0475857173470434,0.00278963871651947
"P1CRC",79.6947061067679,-268.094709205833,0.214660543392427,0.155400673142272
