label,HR,low,high,type
GSE17536 DFS,1.52560548472122,1.13681006289349,2.04737112291865,Independent cohort
GSE17537 DFS,1.32560921500629,0.650097619937892,2.70303987742254,Independent cohort
GSE33113 RFS,1.46839422456559,0.897537419073339,2.40233059136825,Independent cohort
Modified Hartung-Knapp pooled,1.4885109128518024,0.8827443520902478,2.509973280975902,Meta-analysis sensitivity
