analysis,cohorts,k,tau2_REML,pooled_HR,modified_HK_CI_low,modified_HK_CI_high,modified_HK_p,df,Q_residual,unmodified_HK_scale,modified_HK_scale,prediction_low_same_tau0_model,prediction_high_same_tau0_model,note
Primary: GSE17536 retained; GSE14333 excluded for overlap,GSE17536;GSE17537;GSE33113,3,0.0,1.4885109128518024,0.8827443520902478,2.509973280975902,0.08191167454619755,2,0.13148533050251865,0.06574266525125932,1.0,0.8827443520902478,2.509973280975902,"Modified Hartung-Knapp bounds the residual scale at 1; with tau^2=0, the same t-based interval is the model-based prediction interval."
Sensitivity: GSE14333 replaces GSE17536,GSE14333;GSE17537;GSE33113,3,0.0,1.5713138901494383,0.9427173618698264,2.6190536434795106,0.06262343308079081,2,0.40882991645332467,0.20441495822666234,1.0,0.9427173618698264,2.6190536434795106,"Modified Hartung-Knapp bounds the residual scale at 1; with tau^2=0, the same t-based interval is the model-based prediction interval."
