analysis,k,cohorts,FE_HR,FE_CI_low,FE_CI_high,FE_p,RE_HR,RE_CI_low,RE_CI_high,RE_p,prediction_low,prediction_high,Q,Q_df,Q_p,I2_percent,tau2_REML,modified_HK_CI_low,modified_HK_CI_high,modified_HK_p,modified_HK_df,modified_HK_note
Primary: GSE17536 retained; overlapping GSE14333 excluded,3,GSE17536;GSE17537;GSE33113,1.4885109128518,1.17323692350971,1.88850580243485,0.00105433845899,1.4885109128518,1.17323692350971,1.88850580243485,0.00105433845899,1.17323692350971,1.88850580243485,0.131485330502519,2,0.93637179429087,0,0,0.8827443520902478,2.509973280975902,0.0819116745461975,2,"Modified Hartung-Knapp bounds the residual scale at 1; with tau^2=0, the same t-based interval is the model-based prediction interval."
Sensitivity: GSE14333 replaces overlapping GSE17536,3,GSE14333;GSE17537;GSE33113,1.57131389014944,1.24506063639503,1.98305790834849,0.000141308178988,1.57131389014944,1.24506063639503,1.98305790834849,0.000141308178988,1.24506063639503,1.98305790834849,0.408829916453325,2,0.815124058565492,0,0,0.9427173618698264,2.61905364347951,0.0626234330807908,2,"Modified Hartung-Knapp bounds the residual scale at 1; with tau^2=0, the same t-based interval is the model-based prediction interval."
Extended sensitivity: primary independent cohorts plus GSE38832,4,GSE17536;GSE17537;GSE33113;GSE38832,1.47147029800585,1.18143655579125,1.83270513113866,0.0005636409354711,1.47147029800585,1.18143655579125,1.83270513113866,0.0005636409354711,1.18143655579125,1.83270513113866,0.191721429573002,3,0.978914546893038,0,0,,,,,
Extended sensitivity: GSE14333 swap plus GSE38832,4,GSE14333;GSE17537;GSE33113;GSE38832,1.5419606032508,1.24320026398887,1.91251769393033,8.1119069610018e-05,1.5419606032508,1.24320026398887,1.91251769393033,8.1119069610018e-05,1.24320026398887,1.91251769393033,0.584415774185807,3,0.899990573201512,0,0,,,,,
