"time_col","event_col","n","events"
"time to meta or recurrence:ch1","score_z",85,26
"parsed_age_at_diagnosis","score_raw",90,9
"parsed_age_at_diagnosis","characteristics_ch1.4",90,19
"parsed_age_at_diagnosis","meta or recurrence within 3 years:ch1",89,18
"parsed_age_at_diagnosis","parsed_meta_or_recurrence_within_3_years",89,18
"parsed_age_at_diagnosis","score_z",85,26
"parsed_time_to_meta_or_recurrence","score_raw",90,9
"parsed_time_to_meta_or_recurrence","characteristics_ch1.4",90,19
"parsed_time_to_meta_or_recurrence","meta or recurrence within 3 years:ch1",89,18
"parsed_time_to_meta_or_recurrence","parsed_meta_or_recurrence_within_3_years",89,18
"parsed_time_to_meta_or_recurrence","score_z",85,26
"score_z","score_raw",47,3
"score_z","characteristics_ch1.4",47,13
"score_z","meta or recurrence within 3 years:ch1",46,12
"score_z","parsed_meta_or_recurrence_within_3_years",46,12
"score_z","score_z",46,14
