contrast,n_group,n_normal,mean_difference,ci_low,ci_high,p_value,test,FDR
"Cancer vs Normal",4,3,0.041954684056397,-0.450359315741142,0.534268683853936,0.830784732326376,"Welch_t_test_on_prespecified_sample_level_score",0.917532826472134
"Colitis vs Normal",3,3,0.0427647514335037,-1.39038542611857,1.47591492898558,0.917532826472134,"Welch_t_test_on_prespecified_sample_level_score",0.917532826472134
