n_pairs,comparison,mean_difference,ci_low,ci_high,p_value,sign_concordance,cell_class,effect_size_paired_d
5,"Tumor minus Normal",0.500078792535114,0.207063288728441,0.793094296341788,0.00904748124891258,1,"Fibroblast",2.11910231673522
6,"Border minus Normal",0.629314275738291,0.228506716631686,1.0301218348449,0.00996088869796636,1,"Fibroblast",1.64773546468827
6,"Tumor minus Normal",0.479961494848069,-0.257466979051696,1.21738996874783,0.155168651299748,0.666666666666667,"Epithelial",0.683033970478038
5,"Border minus Normal",0.40251676294631,-0.606419042119103,1.41145256801172,0.330125442342559,0.8,"Epithelial",0.495364096223693
