section,x,y,epithelial_target_score,nearest_fibroblast_ECM_score
"P1CRC",77.781565758617,-235.28074183237,-0.158450897035525,-0.345341368049205
"P1CRC",85.7860404406358,-249.410261507887,0.0297783225793671,-0.0176641498018701
"P1CRC",188.09477073269,-277.234195267106,-0.067496178728209,-0.260185037789672
"P1CRC",204.721452074931,-239.411750056504,0.0340767481019156,0.323436102646045
"P1CRC",91.1695432172343,-306.668326266538,0.068480241138934,0.0238902682294154
"P1CRC",150.489274916786,-290.942296563943,-0.158450897035525,0.390127910661629
"P1CRC",72.1846979977626,-306.739216767708,0.0565342929236634,0.324378367053567
"P1CRC",192.043705782563,-224.00554413542,-0.0184752579201432,0.270483645140323
"P1CRC",110.425387132728,-251.117373406769,-6.79498644698085e-05,-0.0378296128093624
"P1CRC",49.4011714497768,-238.224393544126,-0.158450897035525,-0.411026825148723
"P1CRC",45.9321781468649,-187.148440192239,-0.158450897035525,-0.195282988328366
"P1CRC",96.1334159924902,-250.245598380686,-0.0721891907688636,0.110946538323566
"P1CRC",59.0853693631399,-177.899144848813,-0.158450897035525,-0.258399124676272
"P1CRC",125.639706014103,-285.28748631237,-0.0739651749855344,-0.158553141242198
"P1CRC",54.7198086155004,-276.001205854956,-0.158450897035525,-0.436010030847224
"P1CRC",63.3795925309647,-246.244267293408,-0.158450897035525,-0.207999069351793
"P1CRC",38.9714208886359,-246.26544805492,-0.158450897035525,-0.194789998282457
"P1CRC",201.218952606306,-218.41838443057,0.198016345550293,0.272076251856308
"P1CRC",201.198703913451,-299.795552414169,0.127399417227065,0.179045069680168
"P1CRC",129.009791827999,-241.178703453895,0.00679110451060076,0.481856641094965
"P1CRC",27.4690065516949,-210.650793998337,-0.158450897035525,-0.11487647902905
"P1CRC",94.366921909814,-281.052895029045,0.423805778037844,0.0161386471337118
"P1CRC",115.562224865598,-308.37359049603,-0.158450897035525,-0.126492452816586
"P1CRC",52.8708860660193,-236.283725215371,-0.158450897035525,-0.490821263251199
"P1CRC",51.6841989282771,-231.341012772994,-0.158450897035525,-0.363584193094854
"P1CRC",125.169633903492,-282.817239543256,0.0190556324019125,-0.202938035547979
"P1CRC",193.882923343721,-291.097054153321,-0.0760322104387458,-0.0396198136224421
"P1CRC",55.0229990158435,-243.454635325736,-0.158450897035525,-0.272314438630713
"P1CRC",134.661745869234,-243.20363938794,0.359585605785713,0.337003286195225
"P1CRC",65.8839087841577,-242.075394318565,-0.158450897035525,-0.361560337541486
"P1CRC",120.888872424087,-292.394642682504,0.0610783529111711,0.085406557637414
"P1CRC",130.114130947761,-281.383415841903,0.994959447276134,-0.199292019431852
"P1CRC",197.221211895741,-224.053318008733,0.030681456621239,0.245105789679471
"P1CRC",80.8337805176518,-304.599996906774,0.00074769675403903,-0.0717867470682865
"P1CRC",196.046572365505,-297.035344808246,-0.158450897035525,-0.0355460614663453
"P1CRC",89.6460942047426,-284.954641023051,0.0509167883309756,0.170775007263936
"P1CRC",113.167145946005,-247.937005607127,-0.0237995744635904,0.184262176374094
"P1CRC",196.037003114155,-245.24994756321,0.0978836876901877,0.0613589985743881
"P1CRC",18.2315740382973,-249.526094893306,0.286423452972205,-0.0383241250716034
"P1CRC",60.4144893288496,-167.554473446113,-0.158450897035525,-0.390877303703155
"P1CRC",186.043701245416,-232.827750756,-0.00186501940885684,0.0713302239378723
"P1CRC",82.1950996975924,-290.803808301006,0.0751675456318563,0.0389719631632196
"P1CRC",84.182769122129,-262.711249428653,0.170396666958906,0.19505644151594
"P1CRC",124.266283325525,-273.931634237369,-0.0827717218179239,0.209510591839843
"P1CRC",203.848094463939,-227.320276068972,0.0690241262673187,0.147662801633735
"P1CRC",26.7770997536332,-258.482056721494,-0.0161298465703203,-0.0687084925429694
"P1CRC",46.7369199949673,-286.037346390077,-0.158450897035525,-0.0118922788624461
"P1CRC",105.405071115335,-260.688035294511,-0.158450897035525,-0.0382250153851026
"P1CRC",53.0661169182322,-215.325497107338,-0.158450897035525,-0.277789129274021
"P1CRC",196.634065923245,-286.930377895707,-0.158450897035525,-0.129339156796725
"P1CRC",94.2324210273038,-242.583739778232,0.102131658793393,0.371009682334525
"P1CRC",135.634948304155,-297.462838969648,0.0997446084071958,0.0393596304002538
"P1CRC",183.214293647504,-245.378139023069,-0.158450897035525,0.0665762528017645
"P1CRC",108.308283496121,-266.633023433148,0.0142372262871216,0.180954830390994
"P1CRC",23.551687423899,-260.671510047737,-0.0941893913336551,-0.0852239977157936
"P1CRC",200.509401582081,-241.592258368564,0.044021777349121,0.297541917887121
"P1CRC",20.9905929084027,-217.988647600959,-0.158450897035525,-0.251099969620672
"P1CRC",83.3427100171257,-299.93809501617,-0.0208576462633694,0.0934755915654333
"P1CRC",54.4648790840734,-223.969021547891,-0.158450897035525,-0.2624225225625
"P1CRC",107.465773677113,-304.106682115011,-0.115186630718798,0.100239951717968
"P1CRC",84.7965946474342,-302.663986093227,-0.0295089742561769,0.110966779377053
"P1CRC",63.751609882835,-285.701525529429,-0.00163367504124893,0.051704884509176
"P1CRC",48.9050910877995,-291.482233156447,-0.158450897035525,-0.257043078187013
"P1CRC",154.60220238329,-299.364449130895,0.20867998179098,0.0524044644219526
"P1CRC",10.3957883390763,-243.782301729584,-0.0256014792550762,0.0335955613912995
