"cohort","model","comparison","score_A","score_B","n","events","bootstrap_reps_requested","bootstrap_reps_successful","bootstrap_success_fraction","Cindex_A_apparent","Cindex_B_apparent","delta_Cindex_apparent","delta_Cindex_boot_median","CI_lower","CI_upper","bootstrap_probability_delta_gt_0","reliable_bootstrap"
"Discovery","caf_primary","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",373,108,1000,639,0.639,0.615240076502366,0.616313793913364,-0.00107371741099893,-0.000228526656002148,-0.00486409155937051,0.00390638503819962,0.438184663536776,FALSE
"Discovery","caf_primary","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",373,108,1000,639,0.639,0.615240076502366,0.61537429117874,-0.000134214676374866,0.00026020491136769,-0.00833496764071384,0.0106897872488596,0.535211267605634,FALSE
"Discovery","caf_primary","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",373,108,1000,639,0.639,0.61537429117874,0.622789652048451,-0.00741536086971106,-0.00391802290536469,-0.0291042240761012,0.0111869031377899,0.272300469483568,FALSE
"Discovery","caf_stratified","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",373,108,1000,1000,1,0.573935509848002,0.581451531724994,-0.0075160218769923,-0.0056114660189171,-0.0322929595499747,0.0112953235205789,0.252,TRUE
"Discovery","caf_stratified","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",373,108,1000,1000,1,0.573935509848002,0.573365097473409,0.00057041237459321,0.00078124229532911,-0.0146810175365135,0.0232118831824862,0.552,TRUE
"Discovery","caf_stratified","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",373,108,1000,1000,1,0.573935509848002,0.581451531724994,-0.0075160218769923,-0.0056114660189171,-0.0322929595499747,0.0112953235205789,0.252,TRUE
"Discovery","caf_stratified","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",373,108,1000,1000,1,0.573935509848002,0.572123611716941,0.00181189813106064,-0.000270211498422712,-0.0296213359083235,0.0281219313624172,0.485,TRUE
"Discovery","caf_stratified","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",373,108,1000,1000,1,0.573935509848002,0.575848068986344,-0.00191255913834176,-0.0029907184176261,-0.0335848662469914,0.0288750922393248,0.376,TRUE
"Discovery","caf_stratified","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",373,108,1000,1000,1,0.573935509848002,0.575881622655437,-0.0019461128074354,-0.000668491888040079,-0.00955432357315396,0.0065149375229359,0.401,TRUE
"Discovery","caf_stratified","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",373,108,1000,1000,1,0.573935509848002,0.57229138006241,0.00164412978559203,0.00086410272888271,-0.0152738181957688,0.0195670399731352,0.567,TRUE
"Discovery","caf_stratified","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",373,108,1000,1000,1,0.57229138006241,0.581451531724994,-0.00916015166258433,-0.00583712321275637,-0.0427806102680973,0.0209460227946707,0.265,TRUE
"Validation","clinical_primary","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_primary","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",98,30,1000,0,0,,,,,,,,FALSE
"Validation","clinical_stratified","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",98,30,1000,664,0.664,0.565570269115762,0.575395130286202,-0.00982486117044001,-0.00398898319318181,-0.0526389489406863,0.0342306893958293,0.378012048192771,FALSE
"Validation","clinical_stratified","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",98,30,1000,664,0.664,0.565570269115762,0.561298590346006,0.00427167876975654,-0.0010054052199327,-0.0372994172913303,0.0345777633455375,0.469879518072289,FALSE
"Validation","clinical_stratified","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",98,30,1000,664,0.664,0.565570269115762,0.575395130286202,-0.00982486117044001,-0.00398898319318181,-0.0526389489406863,0.0342306893958293,0.378012048192771,FALSE
