n_event_existing,risk_group,n_risk_existing,survival_existing,time,cohort_split,n_event_reconstructed,n_risk_reconstructed,survival_reconstructed,_merge,n_risk_match,n_event_match,survival_abs_difference,pass
1,Low,145,0.823243055827257,25,Discovery,1,145,0.8232430558272573,both,True,True,3.3306690738754696e-16,True
1,Low,139,0.817320443914831,27,Discovery,1,139,0.817320443914831,both,True,True,0.0,True
1,Low,136,0.811310734768399,28,Discovery,1,136,0.8113107347683985,both,True,True,4.440892098500626e-16,True
1,Low,128,0.80497236965302,36,Discovery,1,128,0.8049723696530204,both,True,True,4.440892098500626e-16,True
3,Low,124,0.785497231677544,37,Discovery,3,124,0.7854972316775441,both,True,True,1.1102230246251565e-16,True
1,Low,120,0.778951421413565,38,Discovery,1,120,0.7789514214135647,both,True,True,3.3306690738754696e-16,True
2,Low,108,0.764526395091091,45,Discovery,2,108,0.7645263950910912,both,True,True,2.220446049250313e-16,True
1,Low,100,0.75688113114018,48,Discovery,1,100,0.7568811311401803,both,True,True,3.3306690738754696e-16,True
1,Low,79,0.747300357328279,61,Discovery,1,79,0.7473003573282793,both,True,True,2.220446049250313e-16,True
1,Low,68,0.736310646191099,66,Discovery,1,68,0.7363106461910988,both,True,True,2.220446049250313e-16,True
1,High,69,0.985507246376812,3,Validation,1,69,0.9855072463768116,both,True,True,3.3306690738754696e-16,True
3,High,67,0.941380056240536,5,Validation,3,67,0.9413800562405364,both,True,True,4.440892098500626e-16,True
1,High,64,0.926670992861778,6,Validation,1,64,0.926670992861778,both,True,True,0.0,True
1,High,63,0.91196192948302,8,Validation,1,63,0.9119619294830197,both,True,True,3.3306690738754696e-16,True
1,High,62,0.897252866104261,9,Validation,1,62,0.8972528661042614,both,True,True,3.3306690738754696e-16,True
1,High,61,0.882543802725503,11,Validation,1,61,0.8825438027255029,both,True,True,1.1102230246251565e-16,True
3,High,59,0.837668694112342,13,Validation,3,59,0.8376686941123418,both,True,True,2.220446049250313e-16,True
1,High,56,0.822710324574621,14,Validation,1,56,0.8227103245746213,both,True,True,3.3306690738754696e-16,True
1,High,55,0.807751955036901,15,Validation,1,55,0.807751955036901,both,True,True,0.0,True
1,High,54,0.792793585499181,16,Validation,1,54,0.7927935854991807,both,True,True,3.3306690738754696e-16,True
2,High,52,0.762301524518443,19,Validation,2,52,0.762301524518443,both,True,True,0.0,True
1,High,50,0.747055494028074,22,Validation,1,50,0.7470554940280741,both,True,True,1.1102230246251565e-16,True
1,High,49,0.731809463537705,23,Validation,1,49,0.7318094635377053,both,True,True,2.220446049250313e-16,True
1,High,48,0.716563433047336,24,Validation,1,48,0.7165634330473364,both,True,True,3.3306690738754696e-16,True
1,High,47,0.701317402556967,30,Validation,1,47,0.7013174025569675,both,True,True,5.551115123125783e-16,True
1,High,45,0.685732571389035,32,Validation,1,45,0.6857325713890349,both,True,True,1.1102230246251565e-16,True
1,Low,39,0.974358974358974,2,Validation,1,39,0.9743589743589743,both,True,True,3.3306690738754696e-16,True
1,Low,38,0.948717948717949,4,Validation,1,38,0.9487179487179487,both,True,True,3.3306690738754696e-16,True
1,Low,37,0.923076923076923,8,Validation,1,37,0.9230769230769231,both,True,True,1.1102230246251565e-16,True
1,Low,35,0.896703296703297,18,Validation,1,35,0.8967032967032967,both,True,True,2.220446049250313e-16,True
3,Low,34,0.817582417582418,19,Validation,3,34,0.8175824175824176,both,True,True,4.440892098500626e-16,True
1,Low,30,0.79032967032967,34,Validation,1,30,0.7903296703296703,both,True,True,2.220446049250313e-16,True
1,Low,28,0.762103610675039,45,Validation,1,28,0.7621036106750392,both,True,True,2.220446049250313e-16,True
