"cohort_split","time","n_risk","n_event","survival","lower","upper","risk_group"
"Validation",9,62,1,0.897252866104261,0.827967964402214,0.972335573772543,"High"
"Validation",11,61,1,0.882543802725503,0.809292712736059,0.962425030488586,"High"
"Validation",13,59,3,0.837668694112342,0.754278465979712,0.930278236412955,"High"
"Validation",14,56,1,0.822710324574621,0.736534273495863,0.918969153939149,"High"
"Validation",15,55,1,0.807751955036901,0.719033977926307,0.90741639602017,"High"
"Validation",16,54,1,0.792793585499181,0.701755146374546,0.895642408118782,"High"
"Validation",19,52,2,0.762301524518443,0.667006212383076,0.871211697124946,"High"
"Validation",22,50,1,0.747055494028074,0.649920305636607,0.858708223635005,"High"
"Validation",23,49,1,0.731809463537705,0.63300989232489,0.846029576183112,"High"
"Validation",24,48,1,0.716563433047336,0.616264717851503,0.833186029813101,"High"
"Validation",30,47,1,0.701317402556967,0.599676027827246,0.820186361144557,"High"
"Validation",32,45,1,0.685732571389035,0.582797026565356,0.806848933727505,"High"
