"cohort","model","score","status","reason","n","events","HR","CI_lower","CI_upper","p_value","BH_FDR_M1_to_M4"
"Validation","clinical_primary","ECM21_gene_equal","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_primary","ECM21_module_balanced","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_primary","ECM19_structural","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_primary","LOMO_minus_M1","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_primary","LOMO_minus_M2","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_primary","LOMO_minus_M3","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_primary","LOMO_minus_M4","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","clinical_stratified","M1","completed","",98,30,1.07307354140822,0.75080059563753,1.53367862513829,0.698717040876456,0.77857303905689
"Validation","clinical_stratified","M2","completed","",98,30,1.166526290061,0.817696585325069,1.66416689249412,0.395482612350002,0.77857303905689
"Validation","clinical_stratified","M3","completed","",98,30,1.04948922946322,0.749458977949246,1.46963032689681,0.77857303905689,0.77857303905689
"Validation","clinical_stratified","M4","completed","",98,30,1.06914434645529,0.773951956834367,1.47692582654965,0.685054899377127,0.77857303905689
"Validation","clinical_stratified","ECM21_gene_equal","completed","",98,30,1.10770182236136,0.786963646523672,1.55916138271803,0.55757473605044,
"Validation","clinical_stratified","ECM21_module_balanced","completed","",98,30,1.09079826913611,0.787190781019567,1.51150253869749,0.601521593148167,
"Validation","clinical_stratified","ECM19_structural","completed","",98,30,1.11080070242086,0.78098465011587,1.57990070651915,0.558786994820869,
"Validation","clinical_stratified","LOMO_minus_M1","completed","",98,30,1.11712990261256,0.801617778545608,1.55682577496646,0.513031161295383,
"Validation","clinical_stratified","LOMO_minus_M2","completed","",98,30,1.06612265267912,0.763650244426493,1.48840063740067,0.706840512072535,
"Validation","clinical_stratified","LOMO_minus_M3","completed","",98,30,1.12641248317231,0.797200583866204,1.59157570619562,0.499720772849371,
"Validation","clinical_stratified","LOMO_minus_M4","completed","",98,30,1.11080070242086,0.78098465011587,1.57990070651915,0.558786994820869,
"Validation","caf_primary","M1","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","M2","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","M3","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","M4","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","ECM21_gene_equal","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","ECM21_module_balanced","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","ECM19_structural","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","LOMO_minus_M1","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","LOMO_minus_M2","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","LOMO_minus_M3","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_primary","LOMO_minus_M4","failed","estimability_gate_failed | Loglik converged before variable  4,5,6 ; coefficient may be infinite. ",98,30,,,,,
"Validation","caf_stratified","M1","completed","",98,30,1.06920980535866,0.573772905959942,1.99244264760548,0.833103146832323,0.993199292998751
"Validation","caf_stratified","M2","completed","",98,30,1.40074609191287,0.736866142688738,2.66274903994063,0.303810803263748,0.993199292998751
"Validation","caf_stratified","M3","completed","",98,30,0.996979207519237,0.497224660732275,1.99903105924361,0.993199292998751,0.993199292998751
"Validation","caf_stratified","M4","completed","",98,30,1.06013483568118,0.662882839157504,1.69545175019641,0.807419845149364,0.993199292998751
"Validation","caf_stratified","ECM21_gene_equal","completed","",98,30,1.31612976230866,0.59249462966977,2.92356666962551,0.499930903614643,
"Validation","caf_stratified","ECM21_module_balanced","completed","",98,30,1.24953092889275,0.56181068874337,2.77909903378995,0.584914646806172,
"Validation","caf_stratified","ECM19_structural","completed","",98,30,1.28572294807993,0.596065180632298,2.77332673159297,0.521661428406435,
"Validation","caf_stratified","LOMO_minus_M1","completed","",98,30,1.41533203292432,0.629155751819614,3.18389326908042,0.401038657798844,
"Validation","caf_stratified","LOMO_minus_M2","completed","",98,30,1.07397720673893,0.514118717298559,2.24350330339156,0.8493989899051,
"Validation","caf_stratified","LOMO_minus_M3","completed","",98,30,1.37293411840194,0.647785502528842,2.90983371210624,0.408218418754379,
"Validation","caf_stratified","LOMO_minus_M4","completed","",98,30,1.28572294807993,0.596065180632298,2.77332673159297,0.521661428406435,
"Pooled","clinical_primary","M1","completed","",471,138,1.18349137560981,0.995533187900651,1.40693635648296,0.056228037486745,0.104765561512268
"Pooled","clinical_primary","M2","completed","",471,138,1.25281437456346,1.06221996079424,1.47760719534895,0.00743114874902588,0.0297245949961035
"Pooled","clinical_primary","M3","completed","",471,138,1.16249367638286,0.982943748089981,1.37484118522155,0.0785741711342007,0.104765561512268
"Pooled","clinical_primary","M4","completed","",471,138,1.08241766566401,0.919109058863048,1.27474317834583,0.342559447139452,0.342559447139452
"Pooled","clinical_primary","ECM21_gene_equal","completed","",471,138,1.21548710384751,1.03046698033974,1.43372755052523,0.0205462404466666,
