iteration,wald_z,HR_per_SD,mean_matching_distance,maximum_matching_distance,n_genes,unique_genes,genes,warning
3151,-0.654179954471839,0.92172880584889,0.309975478013407,1.14350929558075,21,21,"NT5E;DNAJC12;PTGER4;TMX1;PKIA;DKK3;MAFB;FOS;IFI30;BOP1;RAB11A;RCAN1;PCCA-DT;C1GALT1C1;ENPP2;TIMP3;SEC61A1;GUCY2C;ITIH4;TTC28;NEK3",""
3152,-0.926664229261409,0.91216858352629,0.323964758865169,1.19706632742224,21,21,"POSTN;FARP1;TIMP2;VWF;LINC00920;PDGFRA;GOLM1;CMBL;CDC42;FAR2;ATP2B4;CDKN1A;RECQL;AP5M1;ENTPD5;HOXA10;XIAP;SPAG1;MICOS10;NEIL3;MYO5B",""
3153,0.262810143664421,1.0324914299767,0.249930109204144,0.88038460592343,21,21,"IGHD;BST2;ANTXR2;TSC22D3;PPP1R3C;ITM2C;TSPAN12;GPA33;MAOA;ZFTA;ADGRA2;PTP4A1;BAG5;PFKM;MMP11;ADIRF;MRPS23;LOC105379173;DOK2;MAP3K9;GSTO2",""
3154,-2.69601352258128,0.748300503912413,0.304289133897256,1.02508726573418,21,21,"MUC5B;MUC1;HES6;KANK1;SCUBE3;COL15A1;HOXB9;CCN2;TSPAN6;CCDC71L;IQGAP1;RDH10;FADS2;ADK;MAD2L1;CCL28;IRF9;AKAP12;IDUA;MAGI2-AS3;DGKH",""
3155,-1.70167680058353,0.820560719718973,0.297030523857069,1.20875999939316,21,21,"AK4;MUC1;RTL8C;GALNT1;TLR3;SLPI;CA12;MGST1;A2M;VIPR1;PARP6;GSE1;OSTM1;YPEL5;TLE2;PTPRO;FCHO2;COL8A1;NIFK-AS1;CREM;ACKR3",""
3156,-0.0290153279135253,0.996818148848468,0.278814340309465,0.899529810889698,21,21,"DCN;ATP8A1;CAPG;CEP55;DCDC2;ITGA6;STEAP1;CLDN3;DUSP1;RNF19B;PGGHG;UBE2Q2;PPIL4;MGAT4B;GEM;BAMBI;SMIM19;TESC;TYW5;EFS;NR4A1",""
3157,-1.51736428742478,0.862421911616667,0.282071171955388,1.20416245554357,21,21,"CD163;XDH;ATP2C2;CNN3;SLCO5A1;GMDS;TOX3;CLDN3;MYL9;VEGFA;OIP5-AS1;ACADM;TEX30;ACVR1B;UGT8;PDZK1IP1;KLF10;AEBP1;IFT140;TGIF2;SMPDL3A",""
3158,-2.40444688304159,0.821827556403626,0.277335052775443,1.23925649065249,21,21,"RBP1;TNS1;ABCC3;CDCA7L;LINC00920;GSKIP;HBA2;MUC13;NEBL;SMTN;PPP1R3B;ZNF703;OPLAH;PIEZO1;PBK;AMIGO2;MRPS23;SLC26A2;TFG;TNFRSF9;HNRNPD",""
3159,-1.23103002203258,0.889953719882441,0.271716131950222,1.16336693237587,21,21,"EFNA2;IGLJ3;KLF5;TMEM263;ABTB3;C19ORF33;SEMA3C;IER3;ISG15;MXRA8;PPP2R2A;MELK;TEX30;VPS4B;MAP3K20;CA2;SMAP1;RGS2;PEAR1;TAPT1-AS1;SIPA1L2",""
3160,-1.06977775867705,0.897409492247153,0.285607225612769,1.18438086536598,21,21,"DCN;PLAAT4;NRARP;CTNNA1;PCLO;TMEM45B;MMP9;IGFBP5;PDZK1IP1;IRF7;PDE4D;SH3KBP1;G3BP2;ZBTB33;ZG16B;AQP3;PLGRKT;IL1RN;UBXN2B;LINC01004;CDKN3",""
3161,-2.99403747244431,0.730589006496729,0.292249085636833,1.22448000073547,21,21,"GNE;FARP1;NUTF2;GMFB;GNA14;SLC6A6;EPHB3;ACSL5;IGFBP7;PALM2AKAP2;COBLL1;CHMP4B;RP2;ELF1;SERPING1;HMGCS2;PLSCR1;DACH1;SH2D3C;CREM;PLEKHH1",""
3162,-2.24234332238445,0.804420043919081,0.290387382880555,1.17597911939652,21,21,"NR3C2;SRPX2;NEDD9;FA2H;B4GALT1;MYADM;AKR1C3;SLC6A6;RNF128;MYO5B;PRPF6;GMNN;CAB39;OSBPL2;H2AC6;ACTG2;MLXIP;CCL18;SNED1;APOL4;TAP2",""
3163,-1.40811062016186,0.886543734982835,0.283276077454352,1.26100477328406,21,21,"IGK;RNF186;TMEM97;TMEM238L;ZNF521;HILPDA;HBA2;RNASE1;APCDD1;SLC39A10;NDRG3;TMPRSS4;TBC1D2;ABRACL;FBN1;SAMD12;ARF6;LRP4;SPACA9;MIPEPP3;ATP11A",""
3164,-2.29918295320334,0.821865509073182,0.276247282496958,1.19105120119854,21,21,"SRPX2;HOPX;C11ORF96;LRIG1;OLFM1;SLPI;CD55;GALNT3;PI3;FRYL;ARHGAP18;NEU1;SEC63;TCF3;BST2;AK4;ACOT7;RUBCNL;SUPT7L;RBM25;BBIP1",""
3165,-0.42304042198022,0.947257537153082,0.283110667407994,1.11864567645154,21,21,"COL5A2;ID4;NUTF2;TNFSF13;NOX4;TSPAN1;PFN2;SLC38A1;NNMT;C3AR1;ZNF697;PUDP;TASOR;TCF7;LOC105379173;MXRA5;EFNA1;RGS2;CCDC28B;KLHL35;PTCH1",""
3166,-0.731833706965878,0.929520454142934,0.282321644482421,0.768937706332304,21,21,"SLC2A3;ADAMDEC1;ABCC3;C2;RRAGD;CD55;PRAP1;ACSL5;FAM3D;BCL2L14;CDV3;GLRX;SPCS3;CDC16;KCNN4;QPRT;STK39;COL5A2;PEAR1;MYLIP;DNAJC15",""
3167,-1.78575356142586,0.830093212794599,0.29085664381168,1.14830137279883,21,21,"RBM6;ASPN;PDZD8;PAQR8;OLFM1;APIP;RNF43;MT1H;GUSBP11;GADD45B;HOXA11;ZMYND8;PHF20L1;SLC3A2;NEAT1;EPDR1;SPINT1;HPGD;SENP1;DOK3;CYP2S1",""
3168,-2.31525015251843,0.768374597596066,0.311650938074307,1.01199455608706,21,21,"SRSF6;CXCL9;TXNIP;ANKRD10;LOC389831;C12ORF57;ZG16B;TPX2;HLA-DPB1;APOL1;RETSAT;ZFAND1;GGT7;QDPR;MFAP2;ALOX5;EMC2;SPAG1;MAMDC4;SLC16A2;DEPTOR",""
3169,-3.08074800379866,0.752360145334435,0.290318059145088,0.934248901247976,21,21,"IGLV@;PTGIS;CDC42EP5;CDKN3;CHST4;SERPINB6;AEBP1;FSTL1;PLAC8;PALM2AKAP2;PRKG1;CTSC;SEC63;ACTL6A;NAMPT;AXIN2;TMEM98;LRP4;OTUD1;DMXL1;KITLG",""
3170,-1.87368335393779,0.80835700633293,0.253326905596429,1.15855073218068,21,21,"PRRX1;POF1B;DKK3;MLH1;PCSK6;TAP1;RAB31;HLA-DRA;GUCY2C;RGCC;TEAD2;PTP4A1;PCYOX1;SSB;SLC2A1;RARRES1;CHCHD7;CHI3L1;PIK3R5;ZNF329;FOXA2",""
3171,-1.0930280114815,0.892229558007065,0.300913177405464,1.21381994597318,21,21,"CD163;S100A8;SLC35A1;CCDC71L;SYNC;PFKP;C9ORF152;PMEPA1;TGFBI;APOL1;MRE11;RELL1;METRN;MRPL12;TCIM;IGKV1OR2-108;TMEM141;IGKV1-17;ZNF696;DDO;SMPDL3A",""
3172,-2.20105713787654,0.817033414799124,0.287171495592189,1.14242639443513,21,21,"SORBS1;FBXO32;KLF5;RNF19B;PCDHB14;VIL1;ASCL2;ACSL5;CTSK;UHMK1;SP140L;GFPT1;AFG3L1P;PIEZO1;C1QC;PM20D2;TMEM230;TMEM200A;RAB35;PNN;EMP3",""
3173,-2.24132833878477,0.806200375816567,0.272131878467168,1.20868780815946,21,21,"PLCB1;CCL28;PPARG;FERMT1;SOX6;RPL38;HBB;PAPSS2;C9ORF152;HMOX1;ATP2B1;SNHG19;FSTL3;GLA;PLTP;MUC12;ENTPD6;GBP1;PVR;STAT2;MAP2K6",""
3174,-2.63569256039579,0.753094711398981,0.276687651974445,0.869807511190725,21,21,"MMP9;ATP8A1;TAP1;NAT1;LMF1;HEPH;IFI6;C12ORF57;CTHRC1;NAAA;KCNK5;CHMP4C;EIF4A1;SEC16A;FBN1;COL5A2;CHCHD7;LYPD8;RBP5;DDO;TRIP13",""
3175,-2.69871023921726,0.641471034365297,0.288350986573749,1.20875999939316,21,21,"ADIRF;KCNMA1;ERRFI1;LATS2;THRB;LPP;SPARC;GGH;A2M;TYMP;DUT;MUC3B;MAP4K5;ARID5B;MFAP2;SRSF6;AHR;IGLV@;PASK;MYLIP;ACP5",""
