split,analysis_type,estimable,n,events,covariates,HR_per_SD,CI_low,CI_high,wald_p,wald_z,incremental_LRT_p,c_index_base,c_index_full,delta_c_index,score_PH_p,global_PH_p,base_formula,full_formula,warnings,reason
"All","pooled_cohort_sex_stage_stratified",TRUE,471,138,"age;mmr;caf_proxy_z;cohort_split;sex;stage",1.22990914461167,0.83105127950188,1.8201963480594,0.300822245102246,1.03467172492079,0.298141972483672,0.561176291330184,0.562395246076489,0.00121895474630507,0.311660330537399,0.446602469836903,"survival::Surv(time, event) ~ age + mmr + caf_proxy_z + strata(cohort_split,      sex, stage)","survival::Surv(time, event) ~ age + mmr + caf_proxy_z + score_z +      strata(cohort_split, sex, stage)","",NA
"Discovery","primary_prespecified_plus_CAF",TRUE,373,108,"age;sex;stage;mmr;caf_proxy_z",1.16436123477648,0.747775133772373,1.8130277724144,0.500615107889698,0.673522235034376,0.498849875920064,0.615609166862396,0.61537429117874,-0.000234875683655988,0.355385841491514,0.0894317888828187,"survival::Surv(time, event) ~ age + sex + stage + mmr + caf_proxy_z","survival::Surv(time, event) ~ age + sex + stage + mmr + caf_proxy_z +      score_z","",NA
"Validation","validation_sex_stage_stratified_plus_CAF",TRUE,98,30,"age;mmr;caf_proxy_z;sex;stage",1.34663047492388,0.592104195746492,3.06265966196619,0.477776131761353,0.709883905456601,0.475892423600334,0.622489959839357,0.620481927710843,-0.00200803212851408,0.877430421146997,0.490803468593078,"survival::Surv(time, event) ~ age + mmr + caf_proxy_z + strata(sex,      stage)","survival::Surv(time, event) ~ age + mmr + caf_proxy_z + score_z +      strata(sex, stage)","",NA
