cohort,endpoint,HR,CI_low,CI_high,logHR,SE_logHR,n,events
GSE14333,DFS,1.65136449293449,1.24263971750081,2.19452561359404,0.50160191157983,0.145086334475166,226,50
GSE17536,DFS,1.52560548472122,1.13681006289349,2.04737112291865,0.42239137042164,0.150087054166952,145,36
GSE17537,DFS,1.32560921500629,0.650097619937892,2.70303987742254,0.281872138679903,0.363529578680648,42,6
GSE33113,RFS,1.46839422456559,0.897537419073339,2.40233059136825,0.384169439484885,0.251162730690889,89,18
