cohort,model,signature,n,events,HR,CI_low,CI_high,Wald_z,P,Harrell_C,converged,interpretation_guardrail
Discovery,univariable Cox; continuous score per Discovery-reference SD,ECM_CORE_19,410,115,1.2680982890082841,1.045643401535745,1.5378792313172418,2.413529531858943,0.01579884751233264,0.5528281750266809,True,Sensitivity comparison only; no outcome-based gene selection or weighting.
Discovery,univariable Cox; continuous score per Discovery-reference SD,ECM_LIGAND_21,410,115,1.2620497260759342,1.041659492976398,1.5290692609513135,2.3768234331908995,0.017462444741274803,0.5519051602295999,True,Sensitivity comparison only; no outcome-based gene selection or weighting.
Validation,univariable Cox; continuous score per Discovery-reference SD,ECM_CORE_19,109,30,1.2522777232124858,0.8773312791431174,1.7874656168487406,1.2391416436895637,0.21529304729342924,0.574859287054409,True,Sensitivity comparison only; no outcome-based gene selection or weighting.
Validation,univariable Cox; continuous score per Discovery-reference SD,ECM_LIGAND_21,109,30,1.2520150118230202,0.8881209380335137,1.76500915888895,1.2828080412790297,0.19955933620708843,0.5767354596622889,True,Sensitivity comparison only; no outcome-based gene selection or weighting.
