"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","model_status","n","n_event","concordance","cohort","endpoint","logHR","SE_logHR","model_role"
"score_z",1.65136449293449,0.145086334475166,3.45726503736082,0.000545687873748733,1.24263971750081,2.19452561359404,"GSE14333_DFS_univariable_per_SD","estimated",226,50,0.631271310277642,"GSE14333","DFS",0.50160191157983,0.145086334475166,"primary external per-SD association"
"score_z",1.52560548472122,0.150087054166952,2.8143091538847,0.00488821929962205,1.13681006289349,2.04737112291865,"GSE17536_DFS_univariable_per_SD","estimated",145,36,0.627032791255665,"GSE17536","DFS",0.42239137042164,0.150087054166952,"primary external per-SD association"
"score_z",1.32560921500629,0.363529578680648,0.775376077244929,0.43811746690121,0.650097619937892,2.70303987742254,"GSE17537_DFS_univariable_per_SD","estimated",42,6,0.530120481927711,"GSE17537","DFS",0.281872138679903,0.363529578680648,"primary external per-SD association"
"score_z",1.46839422456559,0.251162730690889,1.52956387449733,0.126124717166877,0.897537419073339,2.40233059136825,"GSE33113_RFS_univariable_per_SD","estimated",89,18,0.609448818897638,"GSE33113","RFS",0.384169439484885,0.251162730690889,"primary external per-SD association"
