"sample_id","dataset","patient_id","condition","cell_class","n_cells","paired_id"
"GSE132465__SMC01__Tumor__Epithelial","GSE132465","SMC01","Tumor","Epithelial",1093,"GSE132465__SMC01"
"GSE132465__SMC02__Tumor__Epithelial","GSE132465","SMC02","Tumor","Epithelial",352,"GSE132465__SMC02"
"GSE132465__SMC03__Tumor__Epithelial","GSE132465","SMC03","Tumor","Epithelial",796,"GSE132465__SMC03"
"GSE132465__SMC04__Tumor__Epithelial","GSE132465","SMC04","Tumor","Epithelial",307,"GSE132465__SMC04"
"GSE132465__SMC06__Tumor__Epithelial","GSE132465","SMC06","Tumor","Epithelial",189,"GSE132465__SMC06"
"GSE132465__SMC07__Tumor__Epithelial","GSE132465","SMC07","Tumor","Epithelial",542,"GSE132465__SMC07"
"GSE132465__SMC08__Tumor__Epithelial","GSE132465","SMC08","Tumor","Epithelial",320,"GSE132465__SMC08"
"GSE132465__SMC09__Tumor__Epithelial","GSE132465","SMC09","Tumor","Epithelial",1887,"GSE132465__SMC09"
"GSE132465__SMC10__Tumor__Epithelial","GSE132465","SMC10","Tumor","Epithelial",511,"GSE132465__SMC10"
"GSE132465__SMC11__Tumor__Epithelial","GSE132465","SMC11","Tumor","Epithelial",326,"GSE132465__SMC11"
"GSE132465__SMC14__Tumor__Epithelial","GSE132465","SMC14","Tumor","Epithelial",166,"GSE132465__SMC14"
"GSE132465__SMC15__Tumor__Epithelial","GSE132465","SMC15","Tumor","Epithelial",319,"GSE132465__SMC15"
"GSE132465__SMC16__Tumor__Epithelial","GSE132465","SMC16","Tumor","Epithelial",2720,"GSE132465__SMC16"
"GSE132465__SMC17__Tumor__Epithelial","GSE132465","SMC17","Tumor","Epithelial",505,"GSE132465__SMC17"
"GSE132465__SMC18__Tumor__Epithelial","GSE132465","SMC18","Tumor","Epithelial",1516,"GSE132465__SMC18"
"GSE132465__SMC19__Tumor__Epithelial","GSE132465","SMC19","Tumor","Epithelial",382,"GSE132465__SMC19"
"GSE132465__SMC20__Tumor__Epithelial","GSE132465","SMC20","Tumor","Epithelial",524,"GSE132465__SMC20"
"GSE132465__SMC21__Tumor__Epithelial","GSE132465","SMC21","Tumor","Epithelial",1727,"GSE132465__SMC21"
"GSE132465__SMC22__Tumor__Epithelial","GSE132465","SMC22","Tumor","Epithelial",1902,"GSE132465__SMC22"
"GSE132465__SMC23__Tumor__Epithelial","GSE132465","SMC23","Tumor","Epithelial",639,"GSE132465__SMC23"
"GSE132465__SMC24__Tumor__Epithelial","GSE132465","SMC24","Tumor","Epithelial",317,"GSE132465__SMC24"
"GSE132465__SMC25__Tumor__Epithelial","GSE132465","SMC25","Tumor","Epithelial",416,"GSE132465__SMC25"
"GSE132465__SMC01__Normal__Epithelial","GSE132465","SMC01","Normal","Epithelial",159,"GSE132465__SMC01"
"GSE132465__SMC02__Normal__Epithelial","GSE132465","SMC02","Normal","Epithelial",119,"GSE132465__SMC02"
"GSE132465__SMC03__Normal__Epithelial","GSE132465","SMC03","Normal","Epithelial",65,"GSE132465__SMC03"
"GSE132465__SMC04__Normal__Epithelial","GSE132465","SMC04","Normal","Epithelial",169,"GSE132465__SMC04"
"GSE132465__SMC05__Normal__Epithelial","GSE132465","SMC05","Normal","Epithelial",75,"GSE132465__SMC05"
"GSE132465__SMC06__Normal__Epithelial","GSE132465","SMC06","Normal","Epithelial",23,"GSE132465__SMC06"
"GSE132465__SMC07__Normal__Epithelial","GSE132465","SMC07","Normal","Epithelial",128,"GSE132465__SMC07"
"GSE132465__SMC09__Normal__Epithelial","GSE132465","SMC09","Normal","Epithelial",189,"GSE132465__SMC09"
"GSE132465__SMC10__Normal__Epithelial","GSE132465","SMC10","Normal","Epithelial",125,"GSE132465__SMC10"
"GSE132465__SMC01__Tumor__Fibroblast","GSE132465","SMC01","Tumor","Fibroblast",93,"GSE132465__SMC01"
"GSE132465__SMC02__Tumor__Fibroblast","GSE132465","SMC02","Tumor","Fibroblast",64,"GSE132465__SMC02"
"GSE132465__SMC03__Tumor__Fibroblast","GSE132465","SMC03","Tumor","Fibroblast",180,"GSE132465__SMC03"
"GSE132465__SMC04__Tumor__Fibroblast","GSE132465","SMC04","Tumor","Fibroblast",39,"GSE132465__SMC04"
"GSE132465__SMC06__Tumor__Fibroblast","GSE132465","SMC06","Tumor","Fibroblast",67,"GSE132465__SMC06"
"GSE132465__SMC07__Tumor__Fibroblast","GSE132465","SMC07","Tumor","Fibroblast",66,"GSE132465__SMC07"
"GSE132465__SMC07__Tumor__Pericyte","GSE132465","SMC07","Tumor","Pericyte",40,"GSE132465__SMC07"
"GSE132465__SMC08__Tumor__Fibroblast","GSE132465","SMC08","Tumor","Fibroblast",126,"GSE132465__SMC08"
"GSE132465__SMC10__Tumor__Fibroblast","GSE132465","SMC10","Tumor","Fibroblast",93,"GSE132465__SMC10"
"GSE132465__SMC11__Tumor__Fibroblast","GSE132465","SMC11","Tumor","Fibroblast",22,"GSE132465__SMC11"
"GSE132465__SMC14__Tumor__Fibroblast","GSE132465","SMC14","Tumor","Fibroblast",137,"GSE132465__SMC14"
"GSE132465__SMC14__Tumor__Pericyte","GSE132465","SMC14","Tumor","Pericyte",23,"GSE132465__SMC14"
"GSE132465__SMC14__Tumor__Smooth_muscle","GSE132465","SMC14","Tumor","Smooth_muscle",37,"GSE132465__SMC14"
"GSE132465__SMC15__Tumor__Fibroblast","GSE132465","SMC15","Tumor","Fibroblast",115,"GSE132465__SMC15"
"GSE132465__SMC15__Tumor__Pericyte","GSE132465","SMC15","Tumor","Pericyte",71,"GSE132465__SMC15"
"GSE132465__SMC17__Tumor__Fibroblast","GSE132465","SMC17","Tumor","Fibroblast",76,"GSE132465__SMC17"
"GSE132465__SMC17__Tumor__Pericyte","GSE132465","SMC17","Tumor","Pericyte",54,"GSE132465__SMC17"
"GSE132465__SMC19__Tumor__Fibroblast","GSE132465","SMC19","Tumor","Fibroblast",24,"GSE132465__SMC19"
"GSE132465__SMC20__Tumor__Fibroblast","GSE132465","SMC20","Tumor","Fibroblast",305,"GSE132465__SMC20"
"GSE132465__SMC20__Tumor__Pericyte","GSE132465","SMC20","Tumor","Pericyte",39,"GSE132465__SMC20"
"GSE132465__SMC24__Tumor__Fibroblast","GSE132465","SMC24","Tumor","Fibroblast",28,"GSE132465__SMC24"
"GSE132465__SMC01__Normal__Fibroblast","GSE132465","SMC01","Normal","Fibroblast",254,"GSE132465__SMC01"
"GSE132465__SMC01__Normal__Pericyte","GSE132465","SMC01","Normal","Pericyte",22,"GSE132465__SMC01"
"GSE132465__SMC02__Normal__Fibroblast","GSE132465","SMC02","Normal","Fibroblast",116,"GSE132465__SMC02"
"GSE132465__SMC04__Normal__Fibroblast","GSE132465","SMC04","Normal","Fibroblast",312,"GSE132465__SMC04"
"GSE132465__SMC05__Normal__Fibroblast","GSE132465","SMC05","Normal","Fibroblast",123,"GSE132465__SMC05"
"GSE132465__SMC06__Normal__Fibroblast","GSE132465","SMC06","Normal","Fibroblast",52,"GSE132465__SMC06"
"GSE132465__SMC07__Normal__Fibroblast","GSE132465","SMC07","Normal","Fibroblast",317,"GSE132465__SMC07"
"GSE132465__SMC07__Normal__Smooth_muscle","GSE132465","SMC07","Normal","Smooth_muscle",30,"GSE132465__SMC07"
"GSE132465__SMC08__Normal__Fibroblast","GSE132465","SMC08","Normal","Fibroblast",132,"GSE132465__SMC08"
"GSE132465__SMC09__Normal__Fibroblast","GSE132465","SMC09","Normal","Fibroblast",110,"GSE132465__SMC09"
"GSE132465__SMC10__Normal__Fibroblast","GSE132465","SMC10","Normal","Fibroblast",541,"GSE132465__SMC10"
"GSE132465__SMC10__Normal__Smooth_muscle","GSE132465","SMC10","Normal","Smooth_muscle",20,"GSE132465__SMC10"
"GSE132465__SMC01__Tumor__Myeloid","GSE132465","SMC01","Tumor","Myeloid",171,"GSE132465__SMC01"
"GSE132465__SMC02__Tumor__Myeloid","GSE132465","SMC02","Tumor","Myeloid",615,"GSE132465__SMC02"
"GSE132465__SMC03__Tumor__Myeloid","GSE132465","SMC03","Tumor","Myeloid",316,"GSE132465__SMC03"
"GSE132465__SMC04__Tumor__Myeloid","GSE132465","SMC04","Tumor","Myeloid",823,"GSE132465__SMC04"
"GSE132465__SMC05__Tumor__Myeloid","GSE132465","SMC05","Tumor","Myeloid",20,"GSE132465__SMC05"
"GSE132465__SMC06__Tumor__Myeloid","GSE132465","SMC06","Tumor","Myeloid",215,"GSE132465__SMC06"
"GSE132465__SMC07__Tumor__Myeloid","GSE132465","SMC07","Tumor","Myeloid",332,"GSE132465__SMC07"
"GSE132465__SMC08__Tumor__Myeloid","GSE132465","SMC08","Tumor","Myeloid",310,"GSE132465__SMC08"
"GSE132465__SMC09__Tumor__Myeloid","GSE132465","SMC09","Tumor","Myeloid",401,"GSE132465__SMC09"
"GSE132465__SMC10__Tumor__Myeloid","GSE132465","SMC10","Tumor","Myeloid",671,"GSE132465__SMC10"
"GSE132465__SMC11__Tumor__Myeloid","GSE132465","SMC11","Tumor","Myeloid",76,"GSE132465__SMC11"
"GSE132465__SMC14__Tumor__Myeloid","GSE132465","SMC14","Tumor","Myeloid",593,"GSE132465__SMC14"
"GSE132465__SMC15__Tumor__Myeloid","GSE132465","SMC15","Tumor","Myeloid",148,"GSE132465__SMC15"
"GSE132465__SMC16__Tumor__Myeloid","GSE132465","SMC16","Tumor","Myeloid",46,"GSE132465__SMC16"
"GSE132465__SMC17__Tumor__Myeloid","GSE132465","SMC17","Tumor","Myeloid",362,"GSE132465__SMC17"
"GSE132465__SMC18__Tumor__Myeloid","GSE132465","SMC18","Tumor","Myeloid",79,"GSE132465__SMC18"
"GSE132465__SMC19__Tumor__Myeloid","GSE132465","SMC19","Tumor","Myeloid",30,"GSE132465__SMC19"
"GSE132465__SMC20__Tumor__Myeloid","GSE132465","SMC20","Tumor","Myeloid",347,"GSE132465__SMC20"
"GSE132465__SMC21__Tumor__Myeloid","GSE132465","SMC21","Tumor","Myeloid",62,"GSE132465__SMC21"
"GSE132465__SMC22__Tumor__Myeloid","GSE132465","SMC22","Tumor","Myeloid",86,"GSE132465__SMC22"
"GSE132465__SMC23__Tumor__Myeloid","GSE132465","SMC23","Tumor","Myeloid",242,"GSE132465__SMC23"
"GSE132465__SMC24__Tumor__Myeloid","GSE132465","SMC24","Tumor","Myeloid",379,"GSE132465__SMC24"
"GSE132465__SMC25__Tumor__Myeloid","GSE132465","SMC25","Tumor","Myeloid",76,"GSE132465__SMC25"
