"source","target","Normal","Tumor","Tumor_minus_Normal"
"Stromal_1","Stromal_1",0.456208297518693,1.04554172586278,0.589333428344084
"Stromal_2","Stromal_1",0.489775870318492,1.12119751654438,0.631421646225885
"Stromal_3","Stromal_1",0.547751195284363,1.23092725653232,0.683176061247956
"Myeloid_SPP1pos","Stromal_1",0.0436350317118682,0.225534587940151,0.181899556228283
"Myeloid_Proinflammatory","Stromal_1",0.0587560924659995,0.0649214163862628,0.00616532392026336
"Myeloid_cDC","Stromal_1",0.0706335285982716,0.135580239867376,0.0649467112691047
"Epithelial","Stromal_1",0.0564866782629145,0.178577235072782,0.122090556809868
"Stromal_1","Stromal_2",0.494941231485854,1.11382050268782,0.618879271201964
"Stromal_2","Stromal_2",0.506339064208608,1.22202148465424,0.715682420445636
"Stromal_3","Stromal_2",0.612494838431956,1.32531176396404,0.71281692553208
"Myeloid_SPP1pos","Stromal_2",0.0161591407168928,0.231374092718892,0.215214952002
"Myeloid_Proinflammatory","Stromal_2",0.0255970427067445,0.075247127745269,0.0496500850385245
"Myeloid_cDC","Stromal_2",0.0308011972388653,0.135284174354394,0.104482977115529
"Epithelial","Stromal_2",0.0747877563235405,0.219094198786229,0.144306442462689
"Stromal_1","Stromal_3",0.338676094058565,1.29676267447055,0.958086580411988
"Stromal_2","Stromal_3",0.319863499998843,1.3526574713374,1.03279397133856
"Stromal_3","Stromal_3",0.479327123289939,1.5764099580434,1.09708283475346
"Myeloid_SPP1pos","Stromal_3",0.0690134687372801,0.410604596768946,0.341591128031666
"Myeloid_Proinflammatory","Stromal_3",0.0416978266933674,0.177744956042162,0.136047129348795
"Myeloid_cDC","Stromal_3",0.0545471271734363,0.264360642121791,0.209813514948355
"Epithelial","Stromal_3",0.0592482262209918,0.199835413052888,0.140587186831896
"Stromal_1","Myeloid_SPP1pos",0.699552500166671,1.38635689923674,0.686804399070065
"Stromal_2","Myeloid_SPP1pos",0.764457541339503,1.45965845787321,0.695200916533704
"Stromal_3","Myeloid_SPP1pos",0.962515855638476,1.5476712093332,0.58515535369472
"Myeloid_SPP1pos","Myeloid_SPP1pos",0.755256822985538,0.75649751073526,0.00124068774972286
"Myeloid_Proinflammatory","Myeloid_SPP1pos",0.637352555893456,0.302087927362155,-0.335264628531301
"Myeloid_cDC","Myeloid_SPP1pos",0.97305544130205,0.787962868385338,-0.185092572916712
"Epithelial","Myeloid_SPP1pos",0.146787001103225,0.332825549477206,0.186038548373981
"Stromal_1","Myeloid_Proinflammatory",0.941774028792212,1.3250290681622,0.383255039369987
"Stromal_2","Myeloid_Proinflammatory",1.0663364751717,1.45719792188106,0.390861446709363
"Stromal_3","Myeloid_Proinflammatory",1.20289580247542,1.38417097651571,0.181275174040292
"Myeloid_SPP1pos","Myeloid_Proinflammatory",0.315898858701806,0.302999354035679,-0.0128995046661266
"Myeloid_Proinflammatory","Myeloid_Proinflammatory",0.288578530152069,0.0696321180797364,-0.218946412072332
"Myeloid_cDC","Myeloid_Proinflammatory",0.441980999549925,0.222983727935683,-0.218997271614242
"Epithelial","Myeloid_Proinflammatory",0.156579067254683,0.271386859185948,0.114807791931265
"Stromal_1","Myeloid_cDC",0.871129005282786,1.26961705271426,0.398488047431476
"Stromal_2","Myeloid_cDC",0.938743168161338,1.35642117946866,0.417678011307327
"Stromal_3","Myeloid_cDC",1.12337654971898,1.42043381993754,0.297057270218568
"Myeloid_SPP1pos","Myeloid_cDC",0.530075506764451,0.714163221226877,0.184087714462425
"Myeloid_Proinflammatory","Myeloid_cDC",0.462931348923423,0.289126679331244,-0.173804669592179
"Myeloid_cDC","Myeloid_cDC",0.702343924461961,0.72857955717926,0.0262356327172983
"Epithelial","Myeloid_cDC",0.193053832813676,0.378259844647719,0.185206011834043
"Stromal_1","Epithelial",0.121756157877441,1.00281831336432,0.881062155486878
"Stromal_2","Epithelial",0.132570898357172,1.13539435493414,1.00282345657697
"Stromal_3","Epithelial",0.151882565765629,1.21108532628202,1.05920276051639
"Myeloid_SPP1pos","Epithelial",0.0051462448030075,0.064043339632687,0.0588970948296795
"Myeloid_Proinflammatory","Epithelial",0.0146998995186288,0.0245138249999728,0.00981392548134401
"Myeloid_cDC","Epithelial",0.00610833956248271,0.0336451988524354,0.0275368592899527
"Epithelial","Epithelial",0.0208070448694969,0.140137007934063,0.119329963064566
