"measure","n_groups","n_possible_directed_pairs","n_tumor_greater","n_normal_greater","n_equal","max_abs_difference","source_csv","source_md5"
"count",7,49,42,5,2,66,"source_data/Figure_S02a/Figure_S02a_count_network_source.csv","711a767423d07aa78225505ecb962677"
"weight",7,49,43,6,0,1.09708283475346,"source_data/Figure_S02a/Figure_S02a_weight_network_source.csv","dd8bccaf3d0c1c90661a44bebfbe2fdd"
